# dataset_id=qualialabsAI/DuplexConv
# revision=0bb99da7ab7a2f6f86d6b23df92c9383e711d09a
# retrieved_at_utc=2026-08-22T07:38:39Z
# source=https://huggingface.co/api/datasets/qualialabsAI/DuplexConv/tree/0bb99da7ab7a2f6f86d6b23df92c9383e711d09a/Edu/audios?recursive=true&expand=true&limit=100
# file_count=45
# total_bytes=345810892800
path	bytes	sha256	xet_hash	git_oid
Edu/audios/Edu_0020.tar	7966894080	3c2576929c05bff03f39e1a1184c3df6ec0641ba612027f2e0d0a426e98ca135	e34985a6fe14bcad0d29a0e8843f63610278a7c5dd61b5623a81a25c3fd71a84	dbe392b70c2055bae7b15621f90fe9227d1077fb
Edu/audios/Edu_0021.tar	7560140800	239cac1afb3c11d5668815474a9c2819c6c1fefdc69149968a5e0ae75efaa299	2ce1e32198e7175daa1ef74a62f717fa9303736a69585ce244c04aaa72470066	1249b3f70cdcfb960b52c274df1658e753e7a896
Edu/audios/Edu_0022.tar	8036096000	63e00118c98431cee58db2752b9f82677f63918546186cc8263784f5348f449a	ca676d9192f1292b8d604ee60ed4bd7800fab65cf82af77dc0e51b508429db42	b029a2933c9e44a402b3565627302cdd7706814f
Edu/audios/Edu_0023.tar	7968808960	e0201c0b4212fbe0673d291620196808f85deaf1cff5e7aaa1d6301b558e7a8f	16e2acfe8e05850c401f0685b954040880c7375299048565c2d5028cf48d48b5	fc32e75de4140c91c735321df38acd551a8de20f
Edu/audios/Edu_0024.tar	7472896000	6c1fceb751682f8fb5132b8c2373d4abd04b918e9a5d6dffa9a68509cef65cf6	0b21cf99511dde475bdff0a961187f842e88c69b55be18bd05082aeba7374aac	42dfd87301f7d6ad20cc6c81c097798d4b79b53a
Edu/audios/Edu_0025.tar	7541288960	c8add7e522eda2e1c756605948eff78db6d2065c42bfae4baf0f918d550491f5	59f224649c2bdd1d7f60c96271de4223f882e8314472359537bd93efdfc4a170	fadd5bd775736de9ef1bb7df0b32604b8c87d238
Edu/audios/Edu_0026.tar	8177203200	460a874c92469e8ba4d8f251edd4a53da613790f673eaa32811a2d1b9ad1914b	f4bf9af8744bdfb4b079f14d78a22623dd05b159e4fb60a1c4e85ca965e76a13	c9b5d3b5f9eb59a718182c8573ab0f578a4eb658
Edu/audios/Edu_0027.tar	8255406080	a8833f8e9c45f9566f644ecee112ebbce8dbfbb34c8c570eac9805bae6e7ccae	2d75045841c52014e2f2c1d2164f56f5f337c6a4b48eabef824537fd9d771347	ae445aa81c3cf2866e2ee9cceafc5f54cc28af79
Edu/audios/Edu_0028.tar	7947059200	f5c5928427a550d8181223f62bff40626742f6e1a8386c06bf3bc8eab6977ccd	ffdfc05a81cc16f354693183749c62d0746680e8d0524014e4ef3c68c86db6cd	57be80dd438b73d09b50e2b557c338124a2a7e4f
Edu/audios/Edu_0029.tar	8074332160	fe2238a45cc8f9cc9d110019765e8d34e0df0997635c3db4f82451e960bdab7b	5501f117585c77d0ff221e05a454edefc0ba76c54343225df812f917381b3774	39fc41f76ad347182e9f983c677b2d31116de45e
Edu/audios/Edu_0030.tar	7972321280	2bb6fa17c877e1a83fdffd1a164af061291c9b0a68e55a530c67cb82c22171f7	da45c8801073b79f2527913f2629452ac94efd13a0f15fa3305a79f540e34a38	8e77e70a413deb63a051a8a775ad5e7ca024deac
Edu/audios/Edu_0031.tar	7819653120	50312ad902dea81b833e4709f3c94dd1653d16c286cd5a78d97d5ed4c56a4fa1	d8152c604f50f2100eebdc58fc2915ab6cd3da9c8815326173c2553489f98449	0fb15b06786fc02e687c8889378b3ed09ca64557
Edu/audios/Edu_0032.tar	7693424640	86838aa88d801c4c1c8e80708f2857fbf5b7b2683e421533c2781df852742a30	169168370f49a804b400f738b87c309472839cefa5b5e2f9a05f759c891a060f	c7e62754a7b1808a32afd6b9f6d5e778264643e7
Edu/audios/Edu_0033.tar	7609466880	1a10221436cce3fcb89c5df2ad8484214815fd4e4c7e141cdf000978bf0df5d4	1604e7607cf0b8c85e36599d886b478b2c1f82c47b2a2d865ab2f922c28f5250	104027fd33a58c912226537d15efad30e4b02df0
Edu/audios/Edu_0034.tar	8369879040	53357750a505a0a57afd12c6531d9ebbb6c61961c6f33e1c0feb88012f00605e	d0836f5e549b28e4b7db3c85b42ab6d2bc07e4c87a304696c5bf1158621b430f	fb1088eae77b215d4e523d510c40a1edac9819f4
Edu/audios/Edu_0035.tar	7440353280	4eea63b01b39a410db686530a7ca556f7218c3d94785682cf8391cee92117981	bb4aef2b39c28fa07d1515644e6cb6c793e1f8e850ba69e7767874785a909bc6	c409e6f4573e6ce773ee4d81801380efdbf6ce6e
Edu/audios/Edu_0036.tar	7846338560	c69e0c9c29560b93387c162d0ab4be190cffbdec32ea9b5e120bf7e7e59c5643	03f5cf11657051a5becb3a17a460c010a454bd214a83a3a39bee89f3fe7d624a	6766447c3d63299db24dfd173ad945ba620d7312
Edu/audios/Edu_0037.tar	7735255040	f9c22a8e609fe0512e7d9abbd2008d73447a39f298f82b6247f9c57cc101d0e9	ebb7dfabed079ae0dfe263176aa034a56e6cbe0365a9c031facb477ca0a17c70	553dbaebe95499bdfd7f5437e6620754f08eb5ee
Edu/audios/Edu_0038.tar	8289576960	4ef813ba8fdd23ade91ca8b2ddbc5dd498bc6e8db40488ef1f250a5bbbf8fcb3	aadd39a974b3cffeb4a3b7fbc707eca78d2158c0bd6fef60b53b8414be4ec20c	0b6a3305c84b0768f552f09d51f20e5575827827
Edu/audios/Edu_0039.tar	8089958400	2244f2b5246d0b4965b7c3b12382f421b88447f3d68fc572cd047f1ce311a369	e0789909c5021e8610b6935ed902cfa25c5b565a08cb91473d77b876474692f4	ab9e82117589676854299848324470a8fd48604c
Edu/audios/Edu_0040.tar	7522283520	d75dc91eed6f4fa7436ec3a4df53c76319f40e3145c3b9b777dd4974c2b80c11	6b283641375361409687416e47ae176986c2d55eced314a667e33c3674f9e8f4	ba1ccf67b81094ed1e5ef61fa22bd9938af6966d
Edu/audios/Edu_0041.tar	8120791040	b959d580090fd31f9f4435f11be834034c07dc9a1091e76100cae339dd5b3a75	b25a65e091396a112fecb0ac6548438512966707b3e6046b387d35e532fba0c6	af347c95cb34f1cfbf57a719cc7b83b17a573bf6
Edu/audios/Edu_0042.tar	7413319680	dd4c5d519cf7fdb9d346bfb3f667e9e49b9fc77e586d322067ab491bc81aaadb	5d7c563f6363dfb259fe1c08700296730130a46f84b6e47fafe5c1615bfd44f1	f4a9595ef266458ce451c11dfdc6660089d76a50
Edu/audios/Edu_0043.tar	7444357120	1806e902a3c068d211644202910ce5b9e34525d0a48830fb8aa94552b11868fc	6831d23b1f14e5dce915cdaaf8e1959c9981f5289c70384858728d5c055e2aea	95d6f35654850496880078ff061ce1130188626e
Edu/audios/Edu_0044.tar	7812597760	9a00f428919ced3c54739a7e52402abde1019d7f6905e3dc8a5c2ede5dfea09d	06f85361118ba82a659346b7232beae108c17b3e6fc9c67bb1db6427eb0c8780	deec7e910ff56f65fa9392c98436569c52241942
Edu/audios/Edu_0045.tar	660613120	e23ddd68a3091123aa80749c9b6a03f1133b19f4415dba664cf5c519f1c219f7	6cec4b13ce60b196820358559bfa7c12fa991b8550ffda89784ec6bdcf38a09a	d3e1465634a270c53b177aece17ead9141d60eaa
